model	run	seconds	result	exit_status
concrete	1	0.04	UNSAT	20
concrete	2	0.11	UNSAT	20
concrete	3	0.10	UNSAT	20
concrete	4	0.13	UNSAT	20
concrete	5	0.10	UNSAT	20
concrete	6	0.10	UNSAT	20
concrete	7	0.05	UNSAT	20
concrete	8	0.10	UNSAT	20
concrete	9	0.10	UNSAT	20
concrete	10	0.11	UNSAT	20
muse	1	0.11	UNSAT	20
muse	2	0.13	UNSAT	20
muse	3	0.10	UNSAT	20
muse	4	0.11	UNSAT	20
muse	5	0.13	UNSAT	20
muse	6	0.10	UNSAT	20
muse	7	0.03	UNSAT	20
muse	8	0.07	UNSAT	20
muse	9	0.12	UNSAT	20
muse	10	0.10	UNSAT	20
deepseek	1	0.12	UNSAT	20
deepseek	2	0.10	UNSAT	20
deepseek	3	0.11	UNSAT	20
deepseek	4	0.12	UNSAT	20
deepseek	5	0.12	UNSAT	20
deepseek	6	0.11	UNSAT	20
deepseek	7	0.11	UNSAT	20
deepseek	8	0.09	UNSAT	20
deepseek	9	0.11	UNSAT	20
deepseek	10	0.13	UNSAT	20
